//	Liosta Minicíochta Focal Gaeilge | Irish Word Frequency List
//  A corpus-based, cleaned-up frequency list of Irish lemmas.
//  Created by Michal Boleslav Měchura, http://www.lexiconista.com/
//	Available under the Open Database License, http://opendatacommons.org/licenses/odbl/summary/
//  Date stamp: 2015-03-10
//  Format: rank [tab] lemma [tab] corpus frequency [tab] window size [new line]
//	For an explanation of what the columns mean, visit http://www.lexiconista.com/datasets/frequency-ga/



tabhair	123139	279
bliain	75787	453
féidir	50408	681
isteach	45573	753
amháin	40383	850
taobh	39944	860
anois	39654	866
teach	37246	922
ceart	36986	928
roimh	33297	1031
ceist	32045	1072
ansin	31686	1084
deireadh	30577	1123
dóigh	29194	1176
pobal	27643	1242
comhairle	26702	1286
éirigh	26648	1289
aghaidh	25884	1327
céanna	25607	1341
maidir	23185	1481
teanga	22658	1516
úsáid	22408	1533
leith	22402	1533
oíche	21280	1614
aire	21094	1628
baile	20968	1638
lucht	20578	1669
cúrsa	20570	1670
eolas	20451	1680
imigh	20379	1685
méid	20201	1700
leor	20182	1702
lean	20142	1705
fada	19749	1739
caint	19700	1744
leabhar	19448	1766
scríobh	19367	1774
acht	19367	1774
seachtain	19340	1776
feidhm	19266	1783
lámh	19232	1786
ceap	19170	1792
tarlaigh	18832	1824
ais	18767	1830
mí	18655	1841
léir	18331	1874
áirigh	18246	1883
ábhar	18180	1889
féach	18134	1894
bealach	18026	1906
ard	17888	1920
páiste	17800	1930
muintir	17616	1950
airgead	17565	1956
béal	17516	1961
freisin	17391	1975
bord	17242	1992
rialtas	17068	2013
uile	16985	2022
siúil	16973	2024
bunaigh	16799	2045
gabh	16740	2052
diaidh	16713	2055
stát	16678	2060
ainm	16634	2065
suas	16591	2070
athair	16474	2085
dia	16453	2088
fós	16267	2112
ár	16245	2115
ea	16122	2131
seirbhís	16012	2145
éigin	15903	2160
clár	15899	2161
talamh	15890	2162
buail	15819	2171
riamh	15742	2182
muid	15674	2192
focal	15618	2199
tús	15570	2206
mise	15445	2224
beirt	15355	2237
fiú	15245	2253
linn	15154	2267
fan	15095	2276
dar	15095	2276
contae	15046	2283
foireann	14993	2291
meas	14984	2292
measc	14818	2318
leag	14740	2330
bóthar	14670	2342
labhair	14610	2351
clois	14603	2352
cónaí	14567	2358
ceol	14513	2367
bás	14453	2377
cur	14433	2380
nár	14369	2391
tosaigh	14277	2406
ceantar	14238	2413
údarás	14229	2414
léirigh	14216	2416
gá	14161	2426
thart	14077	2440
minic	14063	2443
cluiche	13749	2498
anuas	13606	2525
iomlán	13560	2533
Seán	13474	2549
cóir	13454	2553
conradh	13452	2554
ionad	13269	2589
uisce	13126	2617
díreach	13115	2619
geall	12774	2689
oileán	12767	2691
cinn	12704	2704
leithéid	12664	2713
cuma	12657	2714
cúpla	12545	2738
oideachas	12527	2742
beir	12517	2744
mol	12332	2786
aois	12312	2790
cineál	12193	2817
inis	12079	2844
oiread	12079	2844
líon	12028	2856
páirtí	12023	2857
ball	11963	2872
lán	11932	2879
siar	11771	2918
cúirt	11759	2921
cathair	11713	2933
máthair	11598	2962
náisiúnta	11591	2964
sampla	11560	2972
lig	11543	2976
doras	11541	2977
uí	11528	2980
oifig	11516	2983
timpeall	11471	2995
tarraing	11374	3020
bun	11353	3026
cos	11233	3058
éagsúil	11202	3067
dún	11182	3072
cáin	11112	3091
córas	11092	3097
istigh	11077	3101
forbair	11067	3104
post	11025	3116
airteagal	11007	3121
croí	11003	3122
mórán	10956	3136
rith	10892	3154
seisean	10844	3168
seas	10749	3196
barr	10726	3203
dáil	10695	3212
siúd	10689	3214
tréimhse	10658	3223
imeacht	10540	3259
sásta	10418	3297
breá	10400	3303
amuigh	10351	3319
cúis	10333	3325
réir	10316	3330
deis	10310	3332
áirithe	10299	3336
áitiúil	10279	3342
saothar	10269	3345
coiste	10221	3361
aimsir	10052	3418
maidin	10048	3419
toradh	10015	3430
inniu	9941	3456
suigh	9905	3468
breis	9889	3474
each	9888	3474
fuil	9869	3481
tosach	9807	3503
tuairim	9779	3513
béarla	9752	3523
láthair	9745	3525
ealaín	9745	3525
comhlacht	9744	3526
domhan	9710	3538
coinnigh	9692	3545
tit	9685	3547
dán	9679	3549
caoi	9678	3550
mura	9645	3562
meán	9643	3563
tí	9586	3584
sráid	9566	3591
gnó	9562	3593
deir	9475	3626
tamall	9465	3630
Máire	9428	3644
fíor	9426	3645
seol	9412	3650
cheana	9397	3656
iarratas	9363	3669
caill	9355	3672
múinteoir	9303	3693
Gaillimh	9279	3702
cara	9276	3703
seomra	9273	3705
breathnaigh	9193	3737
gearr	9189	3739
cosúil	9171	3746
luaigh	9146	3756
dlí	9043	3799
iarracht	9032	3804
cúig	9013	3812
nós	9008	3814
sula	8982	3825
áfach	8980	3826
míle	8939	3843
rí	8926	3849
slí	8916	3853
úd	8911	3855
saor	8911	3855
foilsigh	8889	3865
ann	8880	3869
creid	8876	3870
luath	8835	3888
deas	8834	3889
fás	8773	3916
iúl	8773	3916
síl	8768	3918
grúpa	8729	3936
coláiste	8726	3937
láidir	8659	3967
um	8649	3972
fáth	8642	3975
treo	8613	3989
déag	8613	3989
fadhb	8609	3990
cá	8536	4025
sláinte	8508	4038
coinne	8507	4038
cúl	8505	4039
pléigh	8504	4040
cas	8461	4060
dara	8448	4067
in aghaidh	8447	4067
aontaigh	8429	4076
sagart	8429	4076
mair	8419	4081
sórt	8410	4085
Eorpach	8410	4085
tábhachtach	8410	4085
cead	8376	4101
mír	8373	4103
don	8323	4128
dó	8318	4130
bonn	8304	4137
beo	8298	4140
íoc	8262	4158
dubh	8216	4181
scéim	8181	4199
seans	8159	4211
fómhar	8133	4224
bocht	8116	4233
aithin	8099	4242
cor	8028	4279
cogadh	8009	4289
poiblí	7955	4319
thiar	7941	4326
amhrán	7912	4342
tuill	7908	4344
foghlaim	7864	4369
lacha	7833	4386
cailín	7825	4390
gaoth	7744	4436
céim	7736	4441
ceathair	7716	4452
bia	7692	4466
dream	7664	4483
cumas	7653	4489
amhlaidh	7648	4492
at	7627	4504
tráth	7604	4518
clann	7600	4520
leanbh	7571	4538
leas	7558	4545
fonn	7550	4550
oscail	7548	4551
stair	7546	4553
críoch	7529	4563
brí	7521	4568
athraigh	7520	4568
cúram	7513	4573
ollscoil	7497	4582
ceannas	7492	4585
seachas	7473	4597
ól	7465	4602
cosain	7461	4605
cibé	7453	4609
díol	7410	4636
iontach	7401	4642
roinnt	7394	4646
imir	7388	4650
más	7387	4651
loch	7345	4677
abhaile	7345	4677
athrú	7235	4748
leibhéal	7221	4758
forbairt	7217	4760
cumhacht	7206	4768
cumann	7205	4768
toisc	7172	4790
bád	7145	4808
grá	7123	4823
ionann	7123	4823
soláthair	7119	4826
crann	7040	4880
ocht	7026	4890
tacaíocht	6986	4918
páirt	6962	4935
farraige	6952	4942
cónaigh	6933	4955
cloch	6920	4965
cinnte	6904	4976
sinn	6873	4999
glan	6823	5035
comórtas	6798	5054
solas	6797	5054
foirm	6774	5072
teastaigh	6712	5118
tuaisceart	6711	5119
teideal	6708	5121
litir	6698	5129
gné	6686	5138
plean	6684	5140
suim	6652	5165
cruthaigh	6648	5168
páirc	6642	5172
beatha	6615	5193
teaghlach	6599	5206
léann	6592	5212
bó	6590	5213
Mór	6553	5243
aithne	6547	5247
rogha	6542	5251
bris	6532	5259
pointe	6522	5268
bailigh	6513	5275
cuairt	6505	5281
dath	6493	5291
Sasana	6488	5295
olc	6485	5298
im	6474	5307
file	6465	5314
bog	6448	5328
leath	6443	5332
sóisialta	6420	5351
laghad	6406	5363
féile	6390	5376
uasal	6351	5409
conas	6344	5415
léigh	6309	5445
deacair	6308	5446
ceannaigh	6304	5450
lorg	6302	5451
aontas	6294	5458
clog	6289	5463
té	6287	5464
maraigh	6277	5473
thuaidh	6269	5480
dírigh	6261	5487
gníomh	6254	5493
grian	6241	5505
dócha	6232	5513
socraigh	6225	5519
úr	6216	5527
deireanach	6200	5541
freagra	6195	5546
comhphobal	6190	5550
cuí	6181	5558
arm	6157	5580
buachaill	6153	5583
dáta	6152	5584
Domhnach	6151	5585
dul	6149	5587
bán	6147	5589
éigean	6141	5594
amhras	6139	5596
scaoil	6128	5606
sibh	6126	5608
lár	6121	5613
píosa	6111	5622
thíos	6103	5629
trácht	6103	5629
líne	6099	5633
ór	6096	5636
seacht	6076	5654
tráthnóna	6059	5670
éist	6058	5671
rang	6047	5681
samhradh	6044	5684
Liam	6012	5714
fóill	5990	5735
dúchas	5987	5738
turas	5982	5743
os	5982	5743
mó	5945	5779
ith	5931	5792
tuairisc	5923	5800
speisialta	5920	5803
cuimhne	5904	5819
comhair	5902	5821
téarma	5880	5843
cuireadh	5879	5844
luigh	5873	5850
beith	5873	5850
riail	5852	5871
Meiriceá	5847	5876
fógra	5830	5893
thuas	5825	5898
páipéar	5823	5900
beart	5819	5904
tagair	5803	5920
cabhair	5789	5935
sraith	5782	5942
treoir	5779	5945
léamh	5766	5958
tine	5747	5978
áireamh	5686	6042
corp	5661	6069
craobh	5659	6071
oifigeach	5658	6072
nigh	5652	6078
fill	5632	6100
mian	5631	6101
cultúr	5603	6132
deara	5571	6167
siopa	5568	6170
Éireannach	5561	6178
mínigh	5519	6225
amharc	5516	6228
oibrigh	5502	6244
reacht	5497	6250
cuimhnigh	5482	6267
intinn	5468	6283
polasaí	5437	6319
capall	5420	6339
scannán	5410	6350
freagair	5396	6367
gníomhaíocht	5392	6372
bua	5389	6375
údar	5378	6388
leaba	5371	6396
comhalta	5366	6402
tuismitheoir	5350	6422
deich	5348	6424
rún	5337	6437
teilifís	5337	6437
dearg	5320	6458
tagairt	5313	6466
freastail	5309	6471
eagla	5298	6485
baint	5290	6494
L	5288	6497
slán	5286	6499
ainneoin	5262	6529
garda	5243	6553
braith	5238	6559
leasaigh	5225	6575
ceangail	5222	6579
laistigh	5218	6584
raidió	5217	6585
éadach	5208	6597
tionchar	5205	6601
idirnáisiúnta	5201	6606
eagraíocht	5178	6635
aird	5178	6635
fáilte	5164	6653
aer	5121	6709
pós	5118	6713
beagán	5112	6721
dráma	5108	6726
caighdeán	5103	6732
fiche	5097	6740
luach	5094	6744
pictiúr	5093	6746
déanach	5085	6756
airgeadas	5084	6758
domhain	5074	6771
sise	5051	6802
feidhmigh	5030	6830
coinníoll	5029	6832
sliabh	5026	6836
réitigh	5022	6841
réidh	5009	6859
fírinne	4989	6886
foinse	4976	6904
ré	4971	6911
neart	4969	6914
comhar	4960	6927
tusa	4947	6945
oifigiúil	4939	6956
uachtarán	4920	6983
toil	4902	7009
modh	4893	7021
cum	4888	7029
scríbhneoir	4888	7029
triúr	4886	7031
leigheas	4836	7104
scrúdú	4821	7126
Nollaig	4818	7131
pleanáil	4814	7137
fógair	4801	7156
cuidigh	4790	7172
Peadar	4764	7212
roghnaigh	4763	7213
iontas	4762	7215
smaoineamh	4741	7247
cuideachta	4731	7262
stop	4730	7263
cuntas	4729	7265
creideamh	4729	7265
aonar	4724	7273
páirteach	4721	7277
taispeáin	4714	7288
geal	4710	7294
filíocht	4701	7308
baol	4667	7361
tiarna	4665	7365
ciallaigh	4659	7374
láithreach	4635	7412
coimeád	4626	7427
marbh	4625	7428
críochnaigh	4618	7440
smaoinigh	4603	7464
teacht	4597	7474
deoch	4592	7482
parlaimint	4589	7487
os cionn	4576	7508
álainn	4573	7513
greim	4555	7542
carr	4555	7542
fosta	4551	7549
staidéar	4549	7552
suíomh	4542	7564
aimsigh	4538	7571
géar	4534	7577
dalta	4510	7618
gar	4497	7640
deo	4483	7664
faisnéis	4483	7664
costas	4474	7679
port	4471	7684
trom	4470	7686
fianaise	4466	7693
droim	4465	7695
dáiríre	4457	7708
iompair	4441	7736
troid	4436	7745
anam	4434	7748
leagan	4427	7761
teagasc	4416	7780
cruinniú	4416	7780
eagraigh	4409	7792
bhuel	4406	7798
ócáid	4395	7817
codail	4393	7821
uimhir	4382	7840
tuath	4379	7846
brath	4356	7887
dochtúir	4351	7896
fiafraigh	4351	7896
ciall	4345	7907
ardaigh	4343	7911
buaigh	4336	7923
oidhreacht	4326	7942
cinntigh	4308	7975
abhainn	4279	8029
deimhin	4275	8037
cothaigh	4267	8052
á	4267	8052
glas	4259	8067
airde	4257	8071
soiléir	4253	8078
pearsanta	4242	8099
foras	4228	8126
aistrigh	4223	8135
spéis	4221	8139
dualgas	4217	8147
iníon	4213	8155
dearmad	4203	8174
sín	4200	8180
próiseas	4195	8190
spórt	4190	8200
fostaíocht	4173	8233
banc	4159	8261
gleann	4157	8265
litríocht	4149	8281
comhlíon	4146	8287
sean	4143	8293
polaitíocht	4140	8299
réim	4119	8341
ráiteas	4118	8343
iarthar	4117	8345
sonraigh	4107	8365
gnáth	4100	8380
beartaigh	4100	8380
guth	4096	8388
bronn	4080	8421
dochar	4070	8441
slua	4070	8441
cinneadh	4063	8456
nuachtán	4051	8481
radharc	4051	8481
cion	4049	8485
iasc	4038	8508
dár	4035	8515
spreag	4019	8548
margadh	4018	8551
toghchán	4008	8572
comhaontú	4005	8578
brúigh	4004	8580
diabhal	4000	8589
daonna	3995	8600
leathan	3994	8602
socrú	3979	8634
Tadhg	3978	8637
feachtas	3976	8641
club	3974	8645
deartháir	3966	8663
formhór	3960	8676
ordú	3950	8698
bláth	3950	8698
nuacht	3949	8700
riachtanas	3944	8711
fuinneog	3941	8718
teorainn	3934	8733
tuiscint	3927	8749
gairid	3920	8764
trasna	3919	8767
taisteal	3919	8767
malairt	3915	8776
suíochán	3914	8778
thall	3913	8780
áis	3913	8780
ainmhí	3912	8782
nóiméad	3910	8787
íseal	3904	8800
liosta	3890	8832
caibidil	3885	8843
feabhas	3885	8843
gáir	3873	8871
siúl	3871	8875
carraig	3868	8882
taca	3865	8889
trá	3840	8947
glúin	3838	8952
stiúrthóir	3837	8954
cumarsáid	3832	8966
polaitiúil	3831	8968
San	3815	9006
maithe	3811	9015
cnoc	3806	9027
Caitliceach	3798	9046
taighde	3793	9058
imreoir	3790	9065
aigne	3779	9091
earra	3779	9091
aonad	3767	9120
ceadaigh	3765	9125
dúil	3759	9140
mall	3758	9142
saghas	3757	9145
duais	3754	9152
balla	3751	9159
taitin	3750	9162
tábhacht	3747	9169
oireachtas	3726	9221
méadaigh	3726	9221
Satharn	3722	9231
comhartha	3715	9248
mála	3711	9258
pé	3711	9258
caisleán	3707	9268
scil	3686	9321
saighdiúir	3684	9326
múin	3667	9369
síocháin	3662	9382
nóta	3657	9395
taithí	3657	9395
naoi	3655	9400
institiúid	3654	9402
diúltaigh	3637	9446
meall	3618	9496
cuspóir	3618	9496
ábalta	3617	9499
ainmnigh	3610	9517
stáisiún	3606	9528
vóta	3605	9530
ginearálta	3604	9533
glór	3601	9541
riachtanach	3595	9557
imní	3592	9565
gníomhaigh	3590	9570
gluais	3587	9578
mothaigh	3583	9589
ceannaire	3582	9591
aníos	3582	9591
eaglais	3573	9616
bainisteoir	3572	9618
cathaoirleach	3567	9632
eolaíocht	3561	9648
deontas	3556	9662
ordaigh	3542	9700
rialta	3541	9702
teachta	3540	9705
ospidéal	3540	9705
bille	3537	9713
cill	3536	9716
teagmháil	3535	9719
comhrá	3522	9755
foirgneamh	3519	9763
tionscal	3504	9805
Eoin	3499	9819
cruinnigh	3499	9819
nocht	3489	9847
tada	3488	9850
tuarascáil	3488	9850
rialachán	3485	9858
bac	3484	9861
cloigeann	3477	9881
paróiste	3475	9887
aidhm	3474	9890
trua	3469	9904
gáire	3467	9910
cló	3458	9935
éan	3456	9941
gearán	3456	9941
buíochas	3455	9944
eachtra	3451	9956
adhmad	3448	9964
poll	3433	10008
glaoigh	3428	10022
scríbhinn	3421	10043
samhlaigh	3408	10081
spéir	3408	10081
cruinn	3407	10084
scór	3390	10135
milliún	3382	10159
éiligh	3378	10171
ioncam	3359	10228
fuar	3356	10237
leathanach	3355	10240
ráta	3348	10262
teip	3345	10271
Londain	3319	10351
gaol	3310	10380
breac	3298	10417
timpeallacht	3296	10424
easpa	3272	10500
galar	3271	10503
gasúr	3261	10536
gorm	3258	10545
deacracht	3258	10545
oiliúint	3255	10555
caidreamh	3251	10568
ciúin	3242	10597
can	3236	10617
Márta	3228	10643
crua	3227	10647
iarrthóir	3224	10657
bosca	3217	10680
peil	3212	10696
aitheantas	3212	10696
theas	3201	10733
éineacht	3194	10757
traidisiún	3189	10773
ullmhaigh	3183	10794
réimse	3181	10801
clé	3180	10804
Luan	3179	10807
ceangal	3172	10831
caiteachas	3171	10835
punt	3170	10838
scrúdaigh	3166	10852
gluaiseacht	3152	10900
poblacht	3146	10921
beartas	3145	10924
cath	3145	10924
urlár	3131	10973
triail	3129	10980
seasamh	3126	10991
fuinneamh	3124	10998
béim	3117	11022
tóir	3114	11033
coitianta	3107	11058
éisteacht	3101	11079
cothrom	3098	11090
Muire	3095	11101
sroich	3092	11111
cál	3078	11162
foráil	3077	11166
bainistíocht	3076	11169
fostaí	3068	11198
Corcaigh	3066	11206
brú	3059	11231
taifead	3045	11283
scrios	3043	11290
nádúrtha	3040	11302
bunscoil	3033	11328
eas	3033	11328
saothraigh	3033	11328
iomaí	3028	11346
scoláire	3026	11354
teann	3021	11373
léiriú	3021	11373
muna	3020	11376
binn	3005	11433
Aibreán	2999	11456
éifeacht	2994	11475
beagnach	2992	11483
buille	2990	11491
dóthain	2987	11502
